unique_id	gene	category	length	cluster	msa_depth	plddt_mean	frac_plddt70	frac_plddt90	ptm	n_res
B059568	ENSG00000144224	NIC	284	B059568	1119	70.78	0.5951	0.3099	0.291	284
B059572	ENSG00000143418	NIC	284	B067611	7645	88.42	0.9683	0.5986	0.785	284
B059575	ENSG00000183741	NIC	284	B059575	965	49.27	0.0563	0.0035	0.194	284
B059576	ENSG00000128408	NIC	284	B059576	2248	88.30	0.9683	0.4085	0.394	284
B059587	ENSG00000138767	NIC	284	B068812	4670	85.07	0.8169	0.6162	0.852	284
B059589	ENSG00000116406	NIC	284	B059589	9369	69.75	0.5493	0.4401	0.534	284
B059595	ENSG00000274523	NIC	284	B059595	1879	69.87	0.5915	0.2746	0.637	284
B059608	ENSG00000138134	NIC	284	B059608	4619	74.95	0.6972	0.3732	0.46	284
B059610	ENSG00000134802	NIC	284	B059610	2129	74.22	0.7359	0.2042	0.67	284
B059618	ENSG00000158805	NIC	284	B059618	10112	54.42	0.2500	0.0035	0.232	284
B059625	ENSG00000143258	NIC	284	B059625	8576	60.28	0.4613	0.3099	0.563	284
B059633	ENSG00000185842	NIC	284	B071826	342	56.40	0.3134	0.0739	0.328	284
B059649	ENSG00000196935	NNC	284	B067700	714	55.04	0.1232	0.0739	0.239	284
B059664	ENSG00000144031	NNC	284	B060628	311	66.27	0.4437	0.2570	0.471	284
B059684	ENSG00000117595	NNC	284	B059684	3128	58.83	0.3627	0.1303	0.431	284
B059714	ENSG00000130204	NNC	284	B059714	2807	68.50	0.6268	0.1831	0.58	284
B059717	ENSG00000138029	NNC	284	B067830	19491	89.02	0.9155	0.7113	0.816	284
B059723	ENSG00000015479	NNC	284	B051895	2380	62.58	0.2923	0.2113	0.311	284
B059731	ENSG00000065665	NNC	284	B073038	5749	54.67	0.0141	0.0000	0.45	284
B059737	ENSG00000116863	FSM	283	B066897	6708	95.61	0.9894	0.9717	0.935	283
B059746	ENSG00000261740	FSM	283	B059746	4748	60.79	0.4417	0.0000	0.514	283
B059749	ENSG00000182149	FSM	283	B050544	3708	66.10	0.4664	0.2615	0.406	283
B059752	ENSG00000153936	FSM	283	B074252	3035	90.22	0.9187	0.7350	0.741	283
B059757	ENSG00000079999	FSM	283	B059757	11797	82.86	0.7562	0.5795	0.752	283
B059764	ENSG00000197894	FSM	283	B059964	19739	94.32	0.9823	0.8763	0.871	283
B059768	ENSG00000112511	FSM	283	B059768	933	44.96	0.1095	0.0141	0.19	283
B059775	ENSG00000067082	FSM	283	B071065	17676	62.10	0.4311	0.1449	0.29	283
B059777	ENSG00000159884	FSM	283	B066737	483	55.61	0.2756	0.0283	0.203	283
B059782	ENSG00000108510	FSM	283	B063501	470	52.41	0.1590	0.0035	0.206	283
B059783	ENSG00000003393	FSM	283	B059783	6031	57.88	0.3746	0.2580	0.486	283
B059784	ENSG00000143337	FSM	283	B059784	1547	83.44	0.7809	0.6466	0.755	283
B059790	ENSG00000079387	NIC	283	B063088	2745	53.52	0.2580	0.0671	0.245	283
B059791	ENSG00000139318	NIC	283	B059791	10291	65.09	0.4912	0.0000	0.455	283
B059792	ENSG00000111271	NIC	283	B059792	16093	82.60	0.7951	0.6996	0.763	283
B059793	ENSG00000134874	NIC	283	B065962	833	80.85	0.7279	0.6184	0.331	283
B059794	ENSG00000102580	NIC	283	B059794	3502	89.16	0.8763	0.8304	0.781	283
B059797	ENSG00000092010	NIC	283	B069864	2652	72.05	0.5724	0.3286	0.616	283
B059807	ENSG00000038358	NIC	283	B073057	1867	88.12	0.9293	0.5618	0.471	283
B059810	ENSG00000183048	NIC	283	B070676	10847	68.61	0.5583	0.0000	0.638	283
B059815	ENSG00000153827	NIC	283	B059815	4493	88.17	0.9152	0.6678	0.812	283
B059819	ENSG00000132680	NIC	283	B067036	4558	67.42	0.3675	0.3322	0.417	283
B059824	ENSG00000186001	NIC	283	B047259	3913	64.45	0.3958	0.3286	0.306	283
B059826	ENSG00000164169	NIC	283	B059826	439	69.44	0.5830	0.2226	0.634	283
B059827	ENSG00000031003	NIC	283	B059827	6033	58.84	0.3852	0.0707	0.355	283
B059829	ENSG00000117597	NIC	283	B059829	3476	90.83	0.9187	0.7633	0.904	283
B059862	ENSG00000138231	NIC	283	B071148	1447	66.53	0.4912	0.2226	0.473	283
B059877	ENSG00000133961	NNC	283	B051747	624	48.77	0.1237	0.0035	0.242	283
B059878	ENSG00000100722	NNC	283	B059878	609	57.67	0.1908	0.0565	0.239	283
B059883	ENSG00000149922	NNC	283	B059883	4980	72.82	0.6219	0.5300	0.678	283
B059884	ENSG00000103460	NNC	283	B059884	1501	61.59	0.3958	0.0035	0.208	283
B059898	ENSG00000162959	NNC	283	B059898	5842	90.62	0.9081	0.8410	0.878	283
B059924	ENSG00000133619	NNC	283	B064009	256	46.02	0.0495	0.0000	0.186	283
B059928	ENSG00000157514	NNC	283	B059928	1873	58.98	0.3428	0.1166	0.446	283
B059934	ENSG00000262655	NNC	283	B070829	3625	74.40	0.6784	0.2686	0.55	283
B059943	ENSG00000166938	NNC	283	B059943	3320	75.16	0.6961	0.3816	0.608	283
B059948	ENSG00000275023	NNC	283	B059948	7820	45.44	0.0247	0.0000	0.117	283
B059950	ENSG00000268750	NNC	283	B059950	4953	37.15	0.0707	0.0000	0.26	283
B059968	ENSG00000146376	NNC	283	B059968	1375	68.79	0.5230	0.2721	0.533	283
B059971	ENSG00000136738	NNC	283	B059971	1329	56.01	0.2756	0.2120	0.348	283
B059980	ENSG00000126091	FSM	282	B063496	5152	92.31	0.9504	0.8156	0.908	282
B059986	ENSG00000214013	FSM	282	B066671	774	60.00	0.4504	0.2092	0.271	282
B059991	ENSG00000109113	FSM	282	B057104	11165	78.28	0.7199	0.5177	0.754	282
B059994	ENSG00000078043	FSM	282	B059994	7373	71.63	0.5000	0.4220	0.521	282
B060000	ENSG00000154743	FSM	282	B052767	1504	59.68	0.3901	0.1418	0.442	282
B060002	ENSG00000230124	FSM	282	B073886	14550	80.66	0.7376	0.5674	0.517	282
B060011	ENSG00000197448	FSM	282	B060011	3674	81.94	0.7518	0.6489	0.786	282
B060012	ENSG00000104442	FSM	282	B072274	750	77.13	0.6667	0.5390	0.459	282
B060014	ENSG00000130717	FSM	282	B078076	12834	75.23	0.7163	0.4326	0.708	282
B060015	ENSG00000198157	FSM	282	B060015	2162	52.49	0.0000	0.0000	0.111	282
B060017	ENSG00000019505	FSM	282	B060017	3350	82.52	0.8191	0.5000	0.513	282
B060018	ENSG00000165905	FSM	282	B060018	3828	92.80	0.9574	0.8440	0.902	282
B060020	ENSG00000172725	FSM	282	B065659	7661	87.46	0.8688	0.7624	0.832	282
B060021	ENSG00000175634	FSM	282	B060021	24066	73.52	0.6028	0.4574	0.592	282
B060024	ENSG00000072864	FSM	282	B060024	3105	78.85	0.6950	0.5603	0.406	282
B060031	ENSG00000128242	FSM	282	B060031	4367	92.05	0.9504	0.7766	0.862	282
B060036	ENSG00000110002	NIC	282	B060036	7603	83.38	0.8865	0.3759	0.594	282
B060038	ENSG00000121316	NIC	282	B060038	1140	71.35	0.6028	0.3404	0.705	282
B060051	ENSG00000129993	NIC	282	B060051	12318	72.62	0.5780	0.4823	0.374	282
B060052	ENSG00000188176	NIC	282	B060052	1439	62.84	0.3475	0.2766	0.34	282
B060055	ENSG00000162645	NIC	282	B066066	2593	91.67	0.9645	0.8546	0.747	282
B060061	ENSG00000203880	NIC	282	B072258	5335	83.65	0.7766	0.6915	0.804	282
B060063	ENSG00000116691	NIC	282	B063688	1088	58.21	0.3333	0.1489	0.253	282
B060069	ENSG00000213722	NIC	282	B060069	3164	67.78	0.6277	0.3085	0.69	282
B060070	ENSG00000204348	NIC	282	B060347	2376	84.15	0.8156	0.5745	0.805	282
B060074	ENSG00000075213	NIC	282	B060074	5566	73.85	0.7128	0.2695	0.757	282
B060078	ENSG00000134602	NIC	282	B060078	19676	73.24	0.6312	0.5426	0.708	282
B060084	ENSG00000140299	NIC	282	B063095	2874	62.84	0.4645	0.0142	0.431	282
B060085	ENSG00000169180	NIC	282	B060085	355	89.24	0.9078	0.7908	0.862	282
B060095	ENSG00000157014	NIC	282	B060095	6937	66.26	0.5496	0.5106	0.6	282
B060097	ENSG00000154358	NIC	282	B060097	517	48.96	0.1028	0.0000	0.224	282
B060126	ENSG00000130733	NNC	282	B062097	2935	66.85	0.4610	0.1099	0.543	282
B060152	ENSG00000013374	NNC	282	B060152	1262	81.35	0.8652	0.1596	0.514	282
B060161	ENSG00000185825	NNC	282	B061874	2196	69.23	0.5887	0.0496	0.427	282
B060163	ENSG00000155629	NNC	282	B060163	2238	79.25	0.7553	0.4610	0.583	282
B060164	ENSG00000198492	NNC	282	B060164	1029	47.05	0.0177	0.0000	0.139	282
B060170	ENSG00000119596	NNC	282	B060170	2600	79.72	0.6986	0.5532	0.666	282
B060204	ENSG00000138190	NNC	282	B060204	2289	85.67	0.8617	0.6170	0.576	282
B060213	ENSG00000075413	FSM	281	B074558	24413	92.59	0.9537	0.8790	0.894	281
B060218	ENSG00000065559	FSM	281	B060955	12925	84.08	0.7900	0.5196	0.869	281
B060223	ENSG00000160961	FSM	281	B060223	14027	43.97	0.1352	0.0036	0.286	281
B060224	ENSG00000169016	FSM	281	B069664	5215	69.66	0.5765	0.3132	0.398	281
B060225	ENSG00000084764	FSM	281	B063509	6076	78.06	0.6619	0.5694	0.533	281
B060226	ENSG00000127837	FSM	281	B067030	7268	92.26	0.9288	0.8968	0.882	281
B060235	ENSG00000127419	FSM	281	B067933	2104	73.17	0.7189	0.0534	0.694	281
B060238	ENSG00000117697	FSM	281	B071226	704	73.24	0.6263	0.4021	0.352	281
B060242	ENSG00000185803	FSM	281	B065189	2652	74.75	0.6370	0.3523	0.682	281
B060244	ENSG00000138835	FSM	281	B060244	10283	70.75	0.4698	0.4377	0.515	281
B060253	ENSG00000158195	FSM	281	B061878	2978	75.22	0.6762	0.4484	0.523	281
B060254	ENSG00000134684	FSM	281	B063281	15221	82.98	0.8327	0.5587	0.608	281
B060258	ENSG00000178498	NIC	281	B055124	13136	71.16	0.6050	0.3523	0.38	281
B060278	ENSG00000141452	NIC	281	B066067	1130	87.43	0.8968	0.6584	0.775	281
B060279	ENSG00000101751	NIC	281	B044849	8032	78.94	0.7722	0.3665	0.668	281
B060283	ENSG00000104805	NIC	281	B045148	5126	81.37	0.7972	0.6192	0.616	281
B060296	ENSG00000168818	NIC	281	B067248	2178	67.43	0.5516	0.1032	0.384	281
B060302	ENSG00000124570	NIC	281	B069875	11946	83.06	0.8577	0.6014	0.772	281
B060317	ENSG00000147687	NIC	281	B060317	11578	96.50	0.9964	0.9609	0.919	281
B060320	ENSG00000090054	NIC	281	B060320	9663	82.19	0.8470	0.3060	0.515	281
B060330	ENSG00000069943	NIC	281	B060330	5721	90.79	0.9466	0.7580	0.816	281
B060334	ENSG00000105726	NIC	281	B060334	3418	80.83	0.7829	0.4733	0.756	281
B060344	ENSG00000150753	NIC	281	B070956	11994	81.18	0.8683	0.2456	0.627	281
B060351	ENSG00000003989	NIC	281	B073029	10808	55.37	0.1566	0.0000	0.367	281
B060373	ENSG00000064961	NNC	281	B060373	5720	71.62	0.6228	0.2491	0.409	281
B060397	ENSG00000068308	NNC	281	B060397	1011	55.04	0.2705	0.0534	0.221	281
B060398	ENSG00000134602	NNC	281	B060398	15696	74.32	0.6512	0.4804	0.72	281
B060403	ENSG00000126705	NNC	281	B060403	337	44.97	0.0071	0.0000	0.126	281
B060404	ENSG00000110514	NNC	281	B060404	1930	52.73	0.1459	0.0285	0.236	281
B060412	ENSG00000132953	NNC	281	B060412	653	73.40	0.6441	0.4270	0.73	281
B060418	ENSG00000136381	NNC	281	B065250	13590	93.59	0.9751	0.8114	0.889	281
B060436	ENSG00000177000	NNC	281	B060436	2570	49.20	0.3559	0.1246	0.462	281
B060438	ENSG00000184307	NNC	281	B060438	8596	76.47	0.7402	0.4342	0.718	281
B060440	ENSG00000163069	NNC	281	B061904	487	70.16	0.6370	0.1174	0.459	281
B060442	ENSG00000109775	NNC	281	B060442	3144	86.05	0.8470	0.6441	0.797	281
B060444	ENSG00000113552	NNC	281	B067046	13791	88.23	0.8897	0.7616	0.839	281
B060445	ENSG00000204438	NNC	281	B060445	6377	76.02	0.7082	0.2527	0.416	281
B060453	ENSG00000148399	NNC	281	B060453	3375	90.52	0.9146	0.7794	0.874	281
B060458	ENSG00000154114	FSM	280	B074834	2635	90.38	0.9536	0.6643	0.697	280
B060464	ENSG00000139921	FSM	280	B066670	11304	77.43	0.6643	0.5714	0.61	280
B060471	ENSG00000188452	FSM	280	B072576	2765	85.10	0.8071	0.7107	0.83	280
B060474	ENSG00000132182	FSM	280	B060474	1627	86.74	0.8429	0.6643	0.774	280
B060483	ENSG00000164818	FSM	280	B060483	1456	90.29	0.9000	0.8357	0.87	280
B060489	ENSG00000162714	FSM	280	B060745	13287	52.42	0.2714	0.0000	0.227	280
B060499	ENSG00000110330	NIC	280	B048212	16500	84.09	0.8500	0.6214	0.47	280
B060501	ENSG00000139163	NIC	280	B060501	7538	88.67	0.9071	0.6964	0.846	280
B060502	ENSG00000013573	NIC	280	B060502	7197	87.36	0.8750	0.6786	0.851	280
B060506	ENSG00000081760	NIC	280	B074896	8348	91.82	0.9857	0.7714	0.707	280
B060516	ENSG00000117906	NIC	280	B060516	5252	67.56	0.5714	0.1786	0.55	280
B060519	ENSG00000169189	NIC	280	B064395	6070	83.12	0.8071	0.7000	0.774	280
B060524	ENSG00000125744	NIC	280	B061503	360	51.02	0.0643	0.0000	0.153	280
B060530	ENSG00000159259	NIC	280	B060530	18932	68.70	0.5714	0.3464	0.676	280
B060532	ENSG00000170876	NIC	280	B074645	2990	90.56	0.9357	0.7679	0.708	280
B060544	ENSG00000047188	NIC	280	B060544	18175	82.48	0.7857	0.5857	0.762	280
B060548	ENSG00000120438	NIC	280	B071283	11305	86.70	0.9286	0.5286	0.693	280
B060557	ENSG00000152779	NIC	280	B060557	11165	72.23	0.6071	0.2250	0.614	280
B060560	ENSG00000129083	NIC	280	B060560	2823	82.74	0.8250	0.5071	0.685	280
B060561	ENSG00000162144	NIC	280	B070585	4477	86.00	0.7964	0.7143	0.797	280
B060563	ENSG00000173153	NIC	280	B060563	3708	82.52	0.7536	0.6714	0.772	280
B060566	ENSG00000197345	NIC	280	B060664	7571	64.58	0.4750	0.2000	0.481	280
B060573	ENSG00000101574	NIC	280	B060573	7648	74.65	0.6714	0.3143	0.672	280
B060576	ENSG00000156875	NIC	280	B064610	4146	71.44	0.6857	0.0000	0.629	280
B060578	ENSG00000198522	NIC	280	B064771	4763	68.91	0.6250	0.0821	0.636	280
B060582	ENSG00000163161	NIC	280	B048499	7456	78.77	0.7107	0.5143	0.756	280
B060584	ENSG00000078747	NIC	280	B060584	14094	60.59	0.4357	0.0357	0.291	280
B060586	ENSG00000068745	NIC	280	B060586	5440	66.57	0.5571	0.2786	0.617	280
B060590	ENSG00000068796	NIC	280	B060590	12300	63.92	0.4179	0.2464	0.384	280
B060598	ENSG00000104613	NIC	280	B073030	705	87.98	0.8714	0.7964	0.807	280
B060605	ENSG00000189057	NIC	280	B060605	445	74.62	0.6393	0.4893	0.676	280
B060607	ENSG00000162341	NIC	280	B060607	3360	68.12	0.6000	0.1929	0.537	280
B060612	ENSG00000139921	NNC	280	B066670	11300	75.38	0.6607	0.5429	0.602	280
B060622	ENSG00000065559	NNC	280	B062145	11916	65.38	0.4893	0.2714	0.582	280
B060632	ENSG00000100228	NNC	280	B071400	13292	60.07	0.4000	0.0679	0.636	280
B060637	ENSG00000114626	NNC	280	B056436	3772	81.72	0.7464	0.5500	0.758	280
B060639	ENSG00000184305	NNC	280	B060639	1456	50.09	0.0714	0.0000	0.175	280
B060646	ENSG00000151240	NNC	280	B061646	1635	59.51	0.3179	0.1143	0.347	280
B060647	ENSG00000156831	NNC	280	B060647	9999	77.65	0.7179	0.4857	0.466	280
B060654	ENSG00000156345	NNC	280	B060654	12450	79.01	0.7250	0.4429	0.743	280
B060656	ENSG00000131831	NNC	280	B060890	888	48.24	0.0143	0.0000	0.134	280
B060676	ENSG00000160602	NNC	280	B060676	13070	94.00	0.9679	0.8750	0.898	280
B060695	ENSG00000243232	NNC	280	B060695	7069	56.40	0.3536	0.0893	0.473	280
B060696	ENSG00000038274	NNC	280	B051036	7794	86.47	0.8321	0.7000	0.846	280
B060705	ENSG00000149380	NNC	280	B066471	1993	67.03	0.5071	0.0714	0.628	280
B060706	ENSG00000120458	FSM	279	B049199	294	80.48	0.7742	0.5627	0.756	279
B060714	ENSG00000182185	FSM	279	B071178	5073	83.36	0.8530	0.5233	0.696	279
B060717	ENSG00000205629	FSM	279	B072131	6068	88.95	0.8817	0.8065	0.864	279
B060722	ENSG00000105698	FSM	279	B060722	8896	59.15	0.3405	0.2688	0.381	279
B060724	ENSG00000119760	FSM	279	B060724	704	65.03	0.4229	0.3978	0.448	279
B060725	ENSG00000171055	FSM	279	B060725	2000	74.78	0.6380	0.2975	0.489	279
B060728	ENSG00000163156	FSM	279	B075997	927	61.77	0.3620	0.0323	0.273	279
B060731	ENSG00000069849	FSM	279	B062953	4593	88.63	0.9462	0.6201	0.768	279
B060732	ENSG00000163754	FSM	279	B068492	6369	70.54	0.6022	0.4516	0.705	279
B060733	ENSG00000143156	FSM	279	B067930	11414	83.30	0.8387	0.4409	0.728	279
B060734	ENSG00000116191	FSM	279	B069012	8978	85.20	0.8136	0.7276	0.804	279
B060735	ENSG00000249242	FSM	279	B073780	1558	84.74	0.7742	0.6953	0.765	279
B060740	ENSG00000162769	FSM	279	B060740	3181	84.27	0.8280	0.6308	0.772	279
B060757	ENSG00000141543	FSM	279	B073131	16060	87.02	0.8925	0.5341	0.783	279
B060765	ENSG00000072121	NIC	279	B060765	855	79.58	0.8351	0.0789	0.698	279
B060770	ENSG00000197943	NIC	279	B060770	10624	81.18	0.7814	0.6559	0.683	279
B060773	ENSG00000168256	NIC	279	B060773	5249	55.54	0.3513	0.0860	0.524	279
B060774	ENSG00000099821	NIC	279	B060774	5226	79.05	0.7312	0.5161	0.691	279
B060784	ENSG00000100109	NIC	279	B071513	2777	88.74	0.9247	0.6595	0.771	279
B060786	ENSG00000158864	NIC	279	B068330	20688	85.18	0.9892	0.1111	0.78	279
B060787	ENSG00000129071	NIC	279	B060787	518	51.88	0.0143	0.0000	0.126	279
B060788	ENSG00000109736	NIC	279	B065053	2899	81.09	0.8065	0.3118	0.79	279
B060792	ENSG00000145725	NIC	279	B060792	3593	78.17	0.7168	0.5878	0.693	279
B060797	ENSG00000171316	NIC	279	B060797	2578	60.31	0.3477	0.0251	0.307	279
B060801	ENSG00000183878	NIC	279	B060801	2685	77.53	0.7348	0.3943	0.615	279
B060805	ENSG00000170959	NIC	279	B072980	1212	80.77	0.7778	0.4624	0.42	279
B060809	ENSG00000111305	NIC	279	B049826	1552	52.42	0.2043	0.0000	0.305	279
B060811	ENSG00000061936	NIC	279	B060811	5957	66.54	0.4803	0.2222	0.289	279
B060813	ENSG00000157470	NIC	279	B064700	785	85.37	0.8136	0.6918	0.437	279
B060818	ENSG00000133243	NIC	279	B060818	9692	77.75	0.7348	0.4516	0.66	279
B060824	ENSG00000143228	NIC	279	B060824	492	89.01	0.8817	0.7133	0.361	279
B060826	ENSG00000117479	NIC	279	B061375	3326	66.82	0.5305	0.0466	0.596	279
B060827	ENSG00000164163	NIC	279	B074969	8412	80.43	0.8351	0.2545	0.74	279
B060830	ENSG00000105339	NIC	279	B060830	623	72.58	0.6989	0.1685	0.438	279
B060831	ENSG00000182307	NIC	279	B060831	1012	61.65	0.3154	0.1577	0.436	279
B060841	ENSG00000157077	NNC	279	B058309	2020	83.76	0.8638	0.4337	0.624	279
B060859	ENSG00000084764	NNC	279	B063509	6248	78.39	0.6774	0.5699	0.525	279
B060874	ENSG00000152061	NNC	279	B064453	1697	83.28	0.7742	0.5663	0.395	279
B060877	ENSG00000151726	NNC	279	B060877	15209	87.75	0.9677	0.4946	0.653	279
B060878	ENSG00000134987	NNC	279	B060878	3099	78.72	0.7885	0.1935	0.626	279
B060888	ENSG00000154529	NNC	279	B060888	1882	79.53	0.7276	0.5663	0.652	279
B060914	ENSG00000171103	NNC	279	B074519	10248	78.64	0.7133	0.5914	0.749	279
B060919	ENSG00000130706	NNC	279	B067663	3628	61.57	0.3548	0.0215	0.31	279
B060921	ENSG00000100129	NNC	279	B060921	2441	71.39	0.6559	0.0789	0.63	279
B060923	ENSG00000158793	NNC	279	B060923	9906	72.97	0.6523	0.4910	0.71	279
B060926	ENSG00000109805	NNC	279	B060926	2638	90.37	0.9032	0.7563	0.878	279
B060933	ENSG00000026652	NNC	279	B060933	3126	90.44	0.9283	0.8244	0.856	279
B060934	ENSG00000154358	NNC	279	B060934	4783	68.18	0.6022	0.0072	0.378	279
B060942	ENSG00000178498	FSM	278	B055124	13141	71.05	0.6151	0.3489	0.382	278
B060945	ENSG00000133104	FSM	278	B060945	1888	69.98	0.5324	0.2734	0.384	278
B060950	ENSG00000197535	FSM	278	B075005	2943	89.29	0.9101	0.6942	0.851	278
B060953	ENSG00000090447	FSM	278	B060953	4086	71.17	0.5072	0.2662	0.265	278
B060964	ENSG00000137161	FSM	278	B062906	1739	67.70	0.5468	0.1403	0.546	278
B060966	ENSG00000056972	FSM	278	B046882	475	54.59	0.2266	0.0000	0.19	278
B060969	ENSG00000169692	FSM	278	B065554	8624	89.50	0.9317	0.7698	0.84	278
B060970	ENSG00000122852	FSM	278	B069811	10711	75.28	0.5971	0.4424	0.543	278
B060971	ENSG00000198060	FSM	278	B072786	8402	86.00	0.8381	0.5971	0.673	278
B060974	ENSG00000117748	FSM	278	B072226	3364	77.17	0.6727	0.5647	0.505	278
B060983	ENSG00000166012	FSM	278	B067474	526	60.36	0.3129	0.0899	0.314	278
B060985	ENSG00000134294	NIC	278	B060761	4646	80.16	0.8237	0.3201	0.724	278
B060992	ENSG00000260916	NIC	278	B067546	513	53.89	0.1295	0.0144	0.193	278
B060994	ENSG00000140575	NIC	278	B072996	2706	84.94	0.9029	0.4892	0.552	278
B061002	ENSG00000101546	NIC	278	B046008	1893	66.14	0.4856	0.2626	0.468	278
B061004	ENSG00000142039	NIC	278	B060911	2048	82.43	0.8201	0.4065	0.678	278
B061007	ENSG00000124839	NIC	278	B061007	17520	39.75	0.1475	0.0000	0.395	278
B061009	ENSG00000025293	NIC	278	B061009	4892	56.96	0.3237	0.2014	0.353	278
B061011	ENSG00000100095	NIC	278	B061011	10552	78.71	0.7806	0.3777	0.681	278
B061017	ENSG00000263528	NIC	278	B061017	240	85.84	0.8561	0.6295	0.621	278
B061022	ENSG00000198874	NIC	278	B048559	2816	64.75	0.4388	0.1763	0.424	278
B061030	ENSG00000107581	NIC	278	B061030	2612	83.50	0.8022	0.5683	0.349	278
B061040	ENSG00000142945	NIC	278	B061040	21612	75.53	0.7086	0.2374	0.484	278
B061043	ENSG00000132604	NIC	278	B051645	8473	60.67	0.3633	0.1691	0.292	278
B061049	ENSG00000171466	NIC	278	B061049	13330	60.56	0.4388	0.2770	0.478	278
B061055	ENSG00000057935	NIC	278	B061055	3642	81.72	0.8165	0.3597	0.618	278
B061056	ENSG00000115419	NIC	278	B061056	13757	76.65	0.7626	0.2194	0.475	278
B061061	ENSG00000204386	NIC	278	B069897	2352	84.92	0.8237	0.7266	0.823	278
B061064	ENSG00000104219	NIC	278	B061064	12283	74.27	0.7158	0.3957	0.654	278
B061067	ENSG00000095777	NIC	278	B061067	19901	79.24	0.7842	0.3237	0.601	278
B061072	ENSG00000008128	NIC	278	B070134	331	61.90	0.2914	0.0432	0.243	278
B061075	ENSG00000134627	NNC	278	B072555	9702	87.28	0.8417	0.6079	0.874	278
B061078	ENSG00000005812	NNC	278	B061078	5811	62.48	0.5576	0.0000	0.561	278
B061079	ENSG00000070269	NNC	278	B070839	4967	94.01	0.9856	0.8993	0.875	278
B061083	ENSG00000104177	NNC	278	B061083	12731	63.13	0.3993	0.1619	0.406	278
B061086	ENSG00000006007	NNC	278	B067383	5632	86.38	0.8777	0.6763	0.853	278
B061092	ENSG00000166579	NNC	278	B072703	3195	80.40	0.7194	0.5827	0.403	278
B061108	ENSG00000124228	NNC	278	B062950	2087	72.01	0.5360	0.1511	0.289	278
B061113	ENSG00000163382	NNC	278	B061113	6219	68.31	0.5755	0.3957	0.667	278
B061118	ENSG00000162889	NNC	278	B061118	14866	81.13	0.7518	0.5683	0.823	278
B061119	ENSG00000112981	NNC	278	B061853	10609	66.35	0.4784	0.3669	0.567	278
B061134	ENSG00000165732	NNC	278	B061134	18273	55.66	0.3309	0.2410	0.396	278
B061137	ENSG00000107902	NNC	278	B069374	10785	84.63	0.8273	0.6727	0.832	278
B061148	ENSG00000166734	NNC	278	B062331	1242	75.23	0.6331	0.4892	0.364	278
B061164	ENSG00000088930	NNC	278	B046912	7495	84.96	0.8885	0.4856	0.725	278
B061169	ENSG00000196236	NNC	278	B061169	7266	79.63	0.7626	0.4317	0.731	278
B061175	ENSG00000029639	NNC	278	B061175	10148	77.10	0.7122	0.3813	0.771	278
B061180	ENSG00000164975	NNC	278	B061180	2112	75.79	0.6547	0.2302	0.576	278
B061185	ENSG00000165868	NNC	278	B061185	4781	76.87	0.7266	0.2842	0.646	278
B061188	ENSG00000174684	NNC	278	B061188	2246	74.15	0.6475	0.3165	0.662	278
B061195	ENSG00000126106	FSM	277	B069432	1582	87.69	0.8700	0.7112	0.872	277
B061205	ENSG00000125656	FSM	277	B061205	20881	83.03	0.7437	0.6679	0.722	277
B061206	ENSG00000064545	FSM	277	B061206	1567	73.60	0.6787	0.0289	0.62	277
B061216	ENSG00000183783	FSM	277	B068711	1680	58.11	0.3466	0.1300	0.364	277
B061218	ENSG00000164305	FSM	277	B068121	8844	79.59	0.7509	0.5812	0.792	277
B061219	ENSG00000133731	FSM	277	B073032	9764	94.62	0.9711	0.8989	0.924	277
B061228	ENSG00000189057	FSM	277	B060605	437	74.80	0.6426	0.4910	0.685	277
B061230	ENSG00000149761	FSM	277	B068985	1571	86.64	0.8664	0.7220	0.836	277
B061231	ENSG00000123066	FSM	277	B066190	1406	68.55	0.5054	0.3430	0.614	277
B061236	ENSG00000164975	FSM	277	B045871	2484	76.83	0.7148	0.3321	0.608	277
B061243	ENSG00000110931	NIC	277	B072948	15944	80.56	0.7401	0.5632	0.716	277
B061254	ENSG00000108799	NIC	277	B061254	1557	69.89	0.5451	0.1155	0.476	277
B061275	ENSG00000150961	NIC	277	B067362	5273	67.00	0.4910	0.3538	0.468	277
B061286	ENSG00000025156	NIC	277	B074663	13140	72.27	0.5740	0.4440	0.432	277
B061305	ENSG00000107679	NIC	277	B048253	7504	78.23	0.7365	0.5415	0.516	277
B061307	ENSG00000205213	NIC	277	B074100	9800	90.77	0.8989	0.8484	0.848	277
B061310	ENSG00000136161	NIC	277	B051067	7908	84.98	0.8664	0.7292	0.656	277
B061311	ENSG00000092208	NIC	277	B073744	1397	72.16	0.6282	0.0542	0.613	277
B061312	ENSG00000132849	NIC	277	B061312	12431	65.40	0.4874	0.3069	0.438	277
B061317	ENSG00000144535	NIC	277	B061317	4291	57.31	0.2599	0.1516	0.343	277
B061323	ENSG00000080819	NIC	277	B061323	12267	68.31	0.5054	0.4116	0.558	277
B061324	ENSG00000197712	NIC	277	B061324	1259	48.03	0.0830	0.0000	0.209	277
B061333	ENSG00000006459	NIC	277	B061333	4253	95.92	0.9964	0.9495	0.916	277
B061337	ENSG00000269313	NIC	277	B065116	11215	60.26	0.3177	0.2780	0.39	277
B061342	ENSG00000122958	NIC	277	B061342	3306	86.91	0.8881	0.6859	0.791	277
B061346	ENSG00000165905	NIC	277	B060018	3751	93.19	0.9639	0.8520	0.901	277
